familia,parametros,auc,auc_desvio,log_loss,log_loss_desvio,brier,auc_dobras
regressão logística,"{""C"": 0.001}",0.6552046041353757,0.01401439789168647,0.6405548364639274,0.007978618158524242,0.2249777265721984,"[0.6714382764170765, 0.6563889236535725, 0.6497519556401036, 0.6347415566456854, 0.6637023083204405]"
regressão logística,"{""C"": 0.003593813663804626}",0.6584475031515982,0.014577841368525132,0.6362093667527109,0.008568087275735315,0.22316349674480435,"[0.6740815737432989, 0.6589265805637445, 0.6537069282526403, 0.6366637106192702, 0.6688587225790371]"
regressão logística,"{""C"": 0.01291549665014884}",0.6606719342774572,0.015299239675678925,0.6343706783994926,0.008828995839435994,0.2223954635344992,"[0.6760368447187078, 0.6609136297085145, 0.6568072495950844, 0.6372473999045246, 0.6723545474604552]"
regressão logística,"{""C"": 0.046415888336127795}",0.6619135602117657,0.01586251393799065,0.6336220247557456,0.008889913704165317,0.2220747512873867,"[0.6770237011521893, 0.662452109539934, 0.6586905871850857, 0.637122700897856, 0.6742787022837633]"
regressão logística,"{""C"": 0.1668100537200059}",0.6621730894238398,0.01596079416712886,0.633548621310594,0.008885601895981941,0.2220481933411608,"[0.6770399324960741, 0.6629474227545877, 0.6590620349071558, 0.6370774078152461, 0.6747386491461357]"
regressão logística,"{""C"": 0.5994842503189409}",0.6618627160007704,0.016303292923196332,0.6337659458044714,0.008926561211226874,0.22215523974936757,"[0.677027793086349, 0.6637574894632433, 0.6573292410288436, 0.6364865447562407, 0.6747125116691753]"
regressão logística,"{""C"": 2.1544346900318843}",0.6602115451563921,0.017137651604433823,0.6345570440764805,0.009365418927816307,0.22251619618359716,"[0.6769679660719448, 0.6633159550516534, 0.6496683083667557, 0.6364502249330343, 0.6746552713585724]"
regressão logística,"{""C"": 7.742636826811277}",0.6593808520391365,0.0178774881947841,0.6352013054367642,0.009963770944959491,0.22277178144410353,"[0.6769152331477577, 0.6633413703812969, 0.645618247096228, 0.636331709369666, 0.6746977002007343]"
regressão logística,"{""C"": 27.825594022071257}",0.6585637001331469,0.018721900576544753,0.6360644856602813,0.010984680616230222,0.22306346176586628,"[0.6769702404968873, 0.6633259082848081, 0.6416191658653861, 0.6362934194651344, 0.6746097665535188]"
regressão logística,"{""C"": 100.0}",0.6584962965365542,0.01885897513131875,0.6362371622255931,0.011253347544814865,0.2231103116838947,"[0.6769319808897627, 0.6634533683913779, 0.6410799523132249, 0.6363116200761864, 0.6747045610122184]"
gradient boosting,"{""min_samples_leaf"": 20, ""max_leaf_nodes"": 63, ""max_iter"": 400, ""learning_rate"": 0.05, ""l2_regularization"": 10.0}",0.6622242661859425,0.014986584592735245,0.6332536204921873,0.00852655098915529,0.2220572843021932,"[0.6766150924822737, 0.6638510696773977, 0.6578658612377208, 0.6390498556366431, 0.6737394518956775]"
gradient boosting,"{""min_samples_leaf"": 50, ""max_leaf_nodes"": 63, ""max_iter"": 400, ""learning_rate"": 0.2, ""l2_regularization"": 0.1}",0.659869022230024,0.014125594456498003,0.6347599079127904,0.007994123464203957,0.22261982157140814,"[0.6742831090401478, 0.6594905560715717, 0.6551805393862257, 0.6390004822575948, 0.6713904243945803]"
