id_municipio,nome,sigla_uf,rede_nome,alunos,taxa_real,risco,ganho_pp,ganho_acumulado,particao
3550308,São Paulo,SP,Municipal,41751,48.25845085565472,87.30299843327478,0.2710269214102995,0.2710269214102995,treino
2927408,Salvador,BA,Municipal,12112,36.748678996036986,95.54211003445971,0.13294872939351024,0.4039756508038097,treino
1302603,Manaus,AM,Municipal,18666,50.139509313748974,95.34574418468075,0.11397619553004054,0.5179518463338503,validacao
3303500,Nova Iguaçu,RJ,Municipal,6380,33.42198319845462,93.12521934995883,0.09780665873442113,0.6157585050682715,validacao
3518800,Guarulhos,SP,Municipal,9951,44.1965249945271,89.30023590293679,0.08927674692002706,0.7050352519882985,treino
4314902,Porto Alegre,RS,Estadual,4904,31.514768763794272,96.89220150039853,0.08821547808255101,0.7932507300708496,treino
4314902,Porto Alegre,RS,Municipal,2485,20.459645575669636,93.4194904886247,0.06968275787054931,0.8629334879413989,treino
3301702,Duque de Caxias,RJ,Municipal,6581,45.37760984353049,95.860856804742,0.05685431827438235,0.9197878062157813,treino
2704302,Maceió,AL,Municipal,5283,40.94275499998269,96.65265263426004,0.051942395241154994,0.9717302014569362,treino
2408102,Natal,RN,Municipal,2780,33.36366237902013,98.22004843874228,0.05143946892123216,1.0231696703781683,treino
3301009,Campos dos Goytacazes,RJ,Municipal,3890,38.33030745340957,95.46853369980089,0.04827412254947186,1.0714437929276401,teste
3300456,Belford Roxo,RJ,Municipal,3174,38.900381536290055,93.58662843057229,0.045145472952942335,1.1165892658805825,treino
2910800,Feira de Santana,BA,Municipal,3528,33.19160997732426,98.55938032634364,0.04467543998015814,1.1612647058607406,treino
5103403,Cuiabá,MT,Municipal,5832,46.56623460426608,74.68775476936325,0.043890637062214716,1.2051553429229553,treino
3304904,São Gonçalo,RJ,Municipal,4415,43.72031238131577,92.15890433528924,0.04342683124282892,1.2485821741657843,treino
5002704,Campo Grande,MS,Municipal,9928,51.761991449430425,88.12027208580413,0.042877620398625395,1.2914597945644097,treino
3534401,Osasco,SP,Municipal,6664,49.145762112860574,92.28126815193073,0.03975312897566058,1.3312129235400703,treino
3305109,São João de Meriti,RJ,Municipal,2543,35.9710316379831,93.62864866352348,0.036250661373389954,1.3674635849134602,teste
2918407,Juazeiro,BA,Municipal,2494,29.310344827586206,99.65948838953094,0.03617125544800495,1.4036348403614651,teste
1501402,Belém,PA,Municipal,4086,46.07899753826791,94.27775768481429,0.035403235120958616,1.4390380754824237,treino
1502400,Castanhal,PA,Municipal,1890,32.97861049881623,97.14859924633265,0.031269479630936604,1.4703075551133602,treino
1600303,Macapá,AP,Estadual,2298,37.64908527188004,93.23164881578164,0.029092401089185482,1.4993999562025457,treino
2905701,Camaçari,BA,Municipal,2552,36.559561128526646,98.20093238452489,0.02824114106468327,1.527641097267229,validacao
4305108,Caxias do Sul,RS,Municipal,2893,43.22549897337881,94.71437758702345,0.02767817856746629,1.5553192758346952,teste
3530607,Mogi das Cruzes,SP,Municipal,4279,47.87921348713597,82.28187701108686,0.027174507614411356,1.5824937834491066,treino
4313409,Novo Hamburgo,RS,Municipal,1962,36.03296599123173,96.73644639217589,0.026558533615805537,1.6090523170649123,treino
2804805,Nossa Senhora do Socorro,SE,Municipal,1626,29.799232407513866,97.16711426831004,0.026066782102031675,1.635119099166944,treino
4323002,Viamão,RS,Municipal,2091,38.95236079774391,94.4396106878963,0.024924164259335562,1.6600432634262796,teste
1600303,Macapá,AP,Municipal,4238,49.14027658221551,92.08152949275241,0.023586963580339623,1.6836302270066192,treino
4309209,Gravataí,RS,Municipal,2021,41.03854731923976,96.16467750700359,0.023395862392206132,1.7070260893988254,treino
4304606,Canoas,RS,Municipal,2035,41.665498329205015,94.81252830927205,0.023279586224062492,1.7303056756228878,validacao
2933307,Vitória da Conquista,BA,Municipal,2826,42.745930644019815,96.37139622324845,0.022984331213217815,1.7532900068361057,treino
3302502,Magé,RJ,Municipal,2969,46.65853728516914,91.0762592025313,0.021881076297938267,1.775171083134044,teste
2913606,Ilhéus,BA,Municipal,1355,26.346863468634687,99.51073894450353,0.021555840998967388,1.7967269241330113,validacao
3552205,Sorocaba,SP,Municipal,5364,52.439809036702435,78.37984510078869,0.021539755599866112,1.8182666797328775,teste
3515004,Embu das Artes,SP,Municipal,1945,40.504860279135166,91.47134223391974,0.021508775410701644,1.8397754551435792,treino
4318705,São Leopoldo,RS,Municipal,1444,37.37501217842268,96.84737483439898,0.021501152653395413,1.8612766077969747,treino
2403251,Parnamirim,RN,Municipal,1330,35.27283427238745,93.65816366899804,0.021428198103916076,1.8827048059008908,teste
3548708,São Bernardo do Campo,SP,Municipal,6727,54.197569174633045,55.18845504006905,0.021359354561173896,1.9040641604620647,treino
4300604,Alvorada,RS,Municipal,1424,37.030162803943206,93.73143684093787,0.020951606807588504,1.9250157672696533,treino
2700300,Arapiraca,AL,Municipal,2473,43.75574855626423,95.97002469260799,0.020305866308467733,1.945321633578121,treino
1506807,Santarém,PA,Municipal,4040,51.28575288220754,96.21527229025789,0.020256704321572835,1.9655783378996938,treino
1505536,Parauapebas,PA,Municipal,2854,49.482635585157,94.2316592226443,0.019102972197567483,1.9846813100972613,treino
3551009,São Vicente,SP,Municipal,2988,47.92703820332532,90.74857696414466,0.01907930991227123,2.0037606200095324,validacao
3541000,Praia Grande,SP,Municipal,3853,51.26317973444223,74.00442058409588,0.018995866267068923,2.0227564862766014,teste
2919207,Lauro de Freitas,BA,Municipal,1280,28.75,97.02901028868779,0.01890429878940333,2.041660785066005,treino
3543402,Ribeirão Preto,SP,Municipal,2324,45.0109934442032,89.70530878391585,0.018770533165603343,2.060431318231608,treino
2903201,Barreiras,BA,Municipal,1654,36.094316807738814,98.44955621451872,0.018668469179204464,2.0790997874108124,treino
3509502,Campinas,SP,Municipal,1836,41.49329008514664,87.11628344575023,0.0184490370568818,2.0975488244676943,treino
2504009,Campina Grande,PB,Municipal,2582,47.91593222125943,77.90832913662805,0.017245660400858762,2.114794484868553,treino
3302858,Mesquita,RJ,Municipal,1227,35.08963857398773,96.15978121005773,0.017204156949736964,2.13199864181829,treino
2207702,Parnaíba,PI,Municipal,1474,38.44727238031629,91.04098779043618,0.01705640168624048,2.1490550435045304,teste
4314407,Pelotas,RS,Municipal,1230,39.54827656029087,98.65504163190161,0.016946791307316075,2.1660018348118464,treino
1500107,Abaetetuba,PA,Municipal,1270,35.85168533275899,99.00311206456391,0.016940485790744184,2.1829423206025904,validacao
3518701,Guarujá,SP,Municipal,1868,44.12588058496192,90.61612531791687,0.016752734057797578,2.199695054660388,validacao
1504208,Marabá,PA,Municipal,2997,50.669429012549315,97.60961499059964,0.016582555328746144,2.216277609989134,treino
3304144,Queimados,RJ,Municipal,1260,37.63136362474111,94.88454394355,0.01651668471440248,2.2327942947035364,treino
3513009,Cotia,SP,Municipal,2899,49.504827866478436,86.089807432497,0.016510665345073373,2.24930496004861,validacao
3552502,Suzano,SP,Municipal,2298,46.765424221761684,92.34738545593082,0.016427950750772663,2.2657329107993824,validacao
2800308,Aracaju,SE,Municipal,2520,47.173589550456526,96.69411850205822,0.016422177918320197,2.2821550887177025,treino
2931350,Teixeira de Freitas,BA,Municipal,1367,35.040234089246525,94.5107557634838,0.01611232085297778,2.29826740957068,teste
1501303,Barcarena,PA,Municipal,1438,39.50080215349673,98.86221184237507,0.01609642487521112,2.314363834445891,treino
1501709,Bragança,PA,Municipal,1230,37.008615863566234,99.13964545412868,0.01589736505544199,2.3302611995013334,treino
5003207,Corumbá,MS,Municipal,1250,38.29660238751148,89.72875233359694,0.015616026114795702,2.345877225616129,validacao
3302007,Itaguaí,RJ,Municipal,1455,41.61633004940078,92.50297799277078,0.015284113718115881,2.3611613393342448,treino
2919553,Luís Eduardo Magalhães,BA,Municipal,1313,35.71972581873572,96.93115014925593,0.01505284186835698,2.376214181202602,treino
2925303,Porto Seguro,BA,Municipal,2200,45.5,98.86224680537819,0.015020269503619017,2.391234450706221,treino
4205407,Florianópolis,SC,Estadual,1188,46.066912188845016,83.4307343869048,0.014781135244479479,2.4060155859507004,treino
3302270,Japeri,RJ,Municipal,1085,36.87916975537435,91.37926997001716,0.014723988998164106,2.4207395749488647,teste
3552809,Taboão da Serra,SP,Municipal,2415,49.01274697350965,92.65513501145428,0.014432715061784191,2.435172290010649,validacao
4314100,Passo Fundo,RS,Municipal,1170,38.621519998344176,97.11013854362963,0.01426758820270824,2.449439878213357,treino
4218004,Tijucas,SC,Municipal,59,15.275716744821036,92.21029865199833,0.01425759825108469,2.463697476464442,treino
2707701,Rio Largo,AL,Municipal,1249,38.813248603331715,97.95981296875283,0.013797593489167653,2.47749506995361,treino
4316907,Santa Maria,RS,Municipal,1117,39.817797586618994,95.92976536138092,0.013661099994330262,2.49115616994794,treino
3513801,Diadema,SP,Municipal,2120,48.01558113400203,91.4347688374167,0.013568348391134383,2.5047245183390743,treino
1500602,Altamira,PA,Municipal,1559,45.34756009936154,95.35162915928566,0.01344359446892227,2.5181681128079965,treino
3301900,Itaboraí,RJ,Municipal,2438,50.466363901057896,84.45847788893514,0.013364530861548051,2.5315326436695447,treino
1502103,Cametá,PA,Municipal,1141,39.09267478528015,99.55771553447957,0.013358458272791671,2.544891101942336,teste
2914802,Itabuna,BA,Municipal,931,29.752953813104188,97.70399401450376,0.013307209663229944,2.558198311605566,treino
2101400,Balsas,MA,Municipal,1244,39.53981758929157,77.52441086738426,0.013240707514827608,2.571439019120394,treino
2704302,Maceió,AL,Estadual,1177,38.957198326460585,96.04369288878783,0.013195509684287501,2.5846345288046813,treino
2800308,Aracaju,SE,Estadual,1144,38.07198649762531,93.85867321614863,0.013183327999175234,2.5978178568038564,treino
2924009,Paulo Afonso,BA,Municipal,944,30.508474576271187,99.63555948465952,0.01315487340718472,2.6109727302110413,treino
