id_municipio,nome,sigla_uf,rede_nome,alunos,prob_bater_meta,taxa_real,bateu_meta
1720101,São Bento do Tocantins,TO,Municipal,76,13.2,52.9,0
1720200,São Miguel do Tocantins,TO,Municipal,165,8.0,36.9,0
1720655,Silvanópolis,TO,Municipal,75,21.3,37.4,0
1720903,Taguatinga,TO,Municipal,173,13.7,42.4,0
1721208,Tocantinópolis,TO,Municipal,218,9.0,35.4,0
1722081,Wanderlândia,TO,Municipal,94,10.6,41.9,0
2100154,Água Doce do Maranhão,MA,Municipal,119,51.7,63.7,1
2100303,Aldeias Altas,MA,Municipal,212,62.6,45.4,0
2100501,Alto Parnaíba,MA,Municipal,156,43.0,52.0,0
2100907,Araioses,MA,Municipal,239,37.8,42.5,0
2101004,Arari,MA,Municipal,319,73.1,72.4,1
2101707,Barreirinhas,MA,Municipal,762,39.5,78.5,1
2101772,Bela Vista do Maranhão,MA,Municipal,245,37.7,77.7,1
2101905,Bequimão,MA,Municipal,77,17.9,59.8,0
2102002,Bom Jardim,MA,Estadual,11,92.1,36.4,0
2102002,Bom Jardim,MA,Municipal,321,80.9,69.6,1
2102101,Brejo,MA,Municipal,272,51.8,58.1,0
2102200,Buriti,MA,Municipal,251,25.2,28.9,0
2102754,Capinzal do Norte,MA,Municipal,101,23.3,91.1,1
2102903,Carutapera,MA,Municipal,288,30.1,61.2,1
2103000,Caxias,MA,Municipal,1394,9.4,55.2,0
2103174,Centro Novo do Maranhão,MA,Municipal,178,18.3,36.9,0
2103208,Chapadinha,MA,Municipal,685,34.8,41.6,0
2103703,Cururupu,MA,Municipal,276,58.2,66.3,1
2104107,Fortaleza dos Nogueiras,MA,Municipal,194,30.9,78.2,1
2104206,Fortuna,MA,Municipal,310,37.0,72.1,1
2104701,Graça Aranha,MA,Municipal,72,76.8,75.7,1
2105500,João Lisboa,MA,Municipal,245,22.2,55.8,0
2105708,Lago da Pedra,MA,Municipal,410,81.0,79.4,1
2105906,Lago Verde,MA,Municipal,109,46.2,76.7,1
2105963,Lagoa Grande do Maranhão,MA,Municipal,106,87.9,97.1,1
2106326,Maracaçumé,MA,Municipal,315,39.9,41.7,0
2106607,Matões,MA,Municipal,269,77.0,34.5,0
2106904,Monção,MA,Municipal,245,30.8,36.2,0
2107506,Paço do Lumiar,MA,Municipal,1548,18.7,55.6,0
2107605,Palmeirândia,MA,Municipal,119,25.1,70.1,1
2107902,Passagem Franca,MA,Municipal,201,86.2,58.4,0
2108504,Pindaré-Mirim,MA,Municipal,399,22.3,51.1,0
2109106,Presidente Dutra,MA,Municipal,429,41.8,45.1,0
2109239,Presidente Médici,MA,Municipal,68,87.5,74.7,1
2110005,Santa Luzia,MA,Municipal,694,33.4,58.8,0
2110039,Santa Luzia do Paruá,MA,Municipal,243,80.8,85.7,1
2110856,São Francisco do Brejão,MA,Municipal,138,59.9,42.7,0
2111003,São João Batista,MA,Municipal,89,16.2,58.4,0
2111052,São João do Paraíso,MA,Municipal,109,22.0,43.9,0
2111201,São José de Ribamar,MA,Municipal,1923,57.7,56.6,0
2111300,São Luís,MA,Estadual,53,85.4,63.2,1
2111300,São Luís,MA,Municipal,6198,17.9,56.7,0
2111409,São Luís Gonzaga do Maranhão,MA,Municipal,132,77.9,70.5,1
2111573,São Pedro dos Crentes,MA,Municipal,72,32.7,59.5,0
2111805,Sítio Novo,MA,Municipal,250,25.8,54.4,0
2112407,Turiaçu,MA,Municipal,294,15.6,64.4,1
2112803,Viana,MA,Municipal,518,40.6,53.4,0
2112852,Vila Nova dos Martírios,MA,Municipal,167,89.7,74.6,1
2113009,Vitorino Freire,MA,Municipal,258,31.0,73.1,1
2200103,Agricolândia,PI,Municipal,63,38.1,60.2,1
2200202,Água Branca,PI,Municipal,187,90.2,92.0,1
2200251,Alagoinha do Piauí,PI,Municipal,59,38.3,74.6,1
2200301,Alto Longá,PI,Municipal,84,81.7,82.4,1
2201101,Avelino Lopes,PI,Municipal,122,32.6,45.0,0
2201507,Batalha,PI,Municipal,208,19.1,47.0,0
2201572,Belém do Piauí,PI,Municipal,26,88.0,100.0,1
2201606,Beneditinos,PI,Municipal,111,78.1,68.5,1
2201739,Betânia do Piauí,PI,Municipal,104,40.5,82.8,1
2201770,Boa Hora,PI,Municipal,45,48.6,47.1,0
2201919,Bom Princípio do Piauí,PI,Municipal,37,81.6,75.9,1
2202075,Cajazeiras do Piauí,PI,Municipal,24,82.8,75.0,1
2202091,Caldeirão Grande do Piauí,PI,Municipal,22,90.4,100.0,1
2202117,Campo Alegre do Fidalgo,PI,Municipal,34,40.5,59.3,0
2202133,Campo Grande do Piauí,PI,Municipal,72,88.9,95.8,1
2202406,Capitão de Campos,PI,Municipal,137,61.0,54.0,0
2202554,Caridade do Piauí,PI,Municipal,56,68.3,58.2,0
2202604,Castelo do Piauí,PI,Municipal,167,88.5,82.6,1
2202703,Cocal,PI,Municipal,318,88.5,83.9,1
2203107,Cristino Castro,PI,Municipal,20,52.2,85.0,1
2203230,Currais,PI,Municipal,39,86.7,92.5,1
2203354,Dirceu Arcoverde,PI,Municipal,44,24.9,12.0,0
2203750,Fartura do Piauí,PI,Municipal,25,29.6,52.0,0
2203859,Floresta do Piauí,PI,Municipal,22,87.6,54.5,0
2204105,Francisco Ayres,PI,Municipal,62,57.5,32.4,0
2204501,Guadalupe,PI,Municipal,128,34.7,68.6,1
2204600,Hugo Napoleão,PI,Municipal,50,89.8,81.5,1
2204709,Inhuma,PI,Municipal,122,66.5,67.5,1
2204907,Isaías Coelho,PI,Municipal,90,23.8,34.4,0
2205151,Jacobina do Piauí,PI,Municipal,51,86.3,84.3,1
2205300,Jerumenha,PI,Municipal,57,41.2,75.3,1
2205557,Lagoa Alegre,PI,Municipal,94,28.2,58.9,0
2206050,Massapê do Piauí,PI,Municipal,43,44.6,60.6,1
2206100,Matias Olímpio,PI,Municipal,111,16.9,52.0,0
2206605,Monte Alegre do Piauí,PI,Municipal,115,71.1,57.9,0
2206704,Nazaré do Piauí,PI,Municipal,48,32.4,39.0,0
2206803,Nossa Senhora dos Remédios,PI,Municipal,158,60.8,45.6,0
2207405,Palmeira do Piauí,PI,Municipal,36,82.3,72.2,1
2207603,Parnaguá,PI,Municipal,117,76.7,47.3,0
2207702,Parnaíba,PI,Municipal,1474,7.8,38.4,0
2207751,Passagem Franca do Piauí,PI,Municipal,42,82.0,64.5,1
2207793,Pau D'Arco do Piauí,PI,Municipal,27,86.2,51.9,0
2207850,Pavussu,PI,Municipal,40,72.5,90.0,1
2207934,Pedro Laurentino,PI,Municipal,23,38.8,47.4,0
2208106,Pimenteiras,PI,Municipal,68,66.2,61.4,1
2208601,Prata do Piauí,PI,Municipal,50,35.4,47.9,0
2209203,Santa Filomena,PI,Municipal,100,25.4,62.5,1
2209377,Santa Rosa do Piauí,PI,Municipal,44,75.4,51.6,0
2209708,São Francisco do Piauí,PI,Municipal,65,66.2,64.3,1
2209856,São João da Canabrava,PI,Municipal,27,88.2,96.3,1
2209872,São João da Fronteira,PI,Municipal,45,30.5,43.5,0
2209906,São João da Serra,PI,Municipal,50,53.5,94.0,1
2210508,São Pedro do Piauí,PI,Municipal,192,41.9,67.2,1
2210607,São Raimundo Nonato,PI,Municipal,413,81.1,73.2,1
2210938,Sussuapara,PI,Municipal,62,48.1,55.8,0
2211209,Uruçuí,PI,Municipal,280,20.2,31.5,0
2211357,Várzea Branca,PI,Municipal,48,44.4,31.2,0
2300507,Alcântaras,CE,Municipal,105,94.5,99.0,1
2301000,Aquiraz,CE,Municipal,1053,94.4,84.0,1
2301109,Aracati,CE,Municipal,848,96.3,91.2,1
2301208,Aracoiaba,CE,Municipal,317,96.1,90.9,1
2301802,Baixio,CE,Municipal,36,94.0,91.7,1
2301901,Barbalha,CE,Municipal,705,94.6,87.9,1
2303402,Carnaubal,CE,Municipal,226,96.2,83.8,1
2304103,Crateús,CE,Estadual,11,90.7,90.9,1
2304103,Crateús,CE,Municipal,663,96.2,97.3,1
2304301,Farias Brito,CE,Municipal,175,95.9,96.0,1
2305902,Ipueiras,CE,Municipal,433,96.4,99.5,1
2306207,Itaiçaba,CE,Municipal,92,96.0,96.7,1
2306900,Jaguaribe,CE,Municipal,335,95.9,89.3,1
